CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1321	2580	2	0.785	-59.026
316	2257	2	0.8297	30.010
1476	1897	2	0.8174	162.053
2379	2551	2	0.7875	-2.015
2246	2555	2	0.7888	26.016
316	367	2	0.8403	-60.021
311	1278	2	0.9046	18.010
240	1278	2	0.9931	0.000
803	1460	2	0.9436	12.000
1486	2241	2	0.9204	28.030
2260	2490	2	0.8234	-29.975
2087	2103	2	0.781	-0.000
381	1469	2	0.83	2.016
292	1255	2	0.9232	2.015
376	1278	2	0.9453	0.000
285	316	2	0.831	60.021
263	307	2	0.9052	-2.016
263	1255	2	0.8781	-341.132
1459	1476	2	0.8956	-162.053
2091	2241	2	0.8136	23.999
376	1256	2	0.9478	0.000
316	2490	2	0.9207	0.036
2084	2085	2	0.8939	-14.015
2090	2097	2	0.7822	271.126
269	307	2	0.955	179.080
1763	2085	2	0.8311	-122.972
1434	1435	2	0.9885	0.000
1717	2490	2	0.7863	-15.995
1476	1760	2	0.7827	-51.032
328	2528	2	0.9308	0.001
240	313	2	0.9483	0.000
307	368	2	0.9988	0.001
1680	1763	2	0.8429	-4.031
511	1999	3	0.8748	-42.011
741	1574	3	0.8481	33.961
514	1914	3	0.8585	33.961
514	524	3	0.791	-2.000
1095	1914	3	0.8034	-33.961
1095	1111	3	0.7076	79.956
511	1916	3	0.7584	-33.960
1574	2338	3	0.8007	0.001
1084	1094	3	0.9075	33.960
741	1917	3	0.8384	-1.997
1095	2039	3	0.7933	0.000
511	514	3	0.8613	-33.961
524	1917	3	0.7528	0.002
1916	1917	3	0.8352	-1.998
511	2338	3	0.7919	0.001
1574	1917	3	0.8121	-35.958
514	2338	3	0.7118	33.961
1914	1917	3	0.805	-35.958
1111	1123	3	0.8233	-35.977
741	1916	3	0.8217	0.001
1574	1999	3	0.8696	-42.011
1914	1999	3	0.8756	-42.011
511	1095	3	0.8131	33.961
511	1914	3	0.9894	0.000
1095	1574	3	0.8179	-33.961
1914	2000	3	0.7771	-42.010
514	1916	3	0.8316	0.000
511	2000	3	0.784	-42.010
514	1917	3	0.8581	-1.998
511	1574	3	0.9691	-0.000
1574	1916	3	0.7479	-33.960
514	1574	3	0.8652	33.960
514	1084	3	0.744	-54.010
1574	2000	3	0.7833	-42.010
1999	2338	3	0.7145	42.011
1574	1914	3	0.9661	0.000
741	1084	3	0.7266	-54.009
741	1914	3	0.8533	33.961
1999	2000	3	0.8744	0.001
1914	2338	3	0.7878	0.001
514	741	3	0.9145	-0.001
1111	2325	3	0.935	0.000
1914	1916	3	0.7517	-33.960
524	1916	3	0.7216	2.000
511	1917	3	0.8097	-35.958
524	741	3	0.7601	1.999
1123	2325	3	0.7706	35.977
511	741	3	0.8486	-33.961
501	849	4	0.9934	-19.968
781	1112	4	0.9481	26.016
1208	1619	4	0.9478	13.978
775	787	4	0.9634	2.015
501	1208	4	0.9695	-39.993
523	775	4	0.9685	-4.031
1007	1112	4	0.94	-0.001
878	881	4	0.9632	-21.986
743	775	4	0.9782	-4.031
878	1537	4	0.9772	0.009
501	1537	4	0.9646	0.010
781	1072	4	0.9713	0.001
523	1208	4	0.9543	-18.009
523	743	4	0.9783	0.000
501	523	4	0.9838	-21.984
523	1051	4	0.9991	21.985
787	849	4	0.977	4.031
775	878	4	0.9973	26.016
878	1208	4	0.9794	-39.994
1005	1018	4	0.9229	-0.001
775	1619	4	0.9699	-0.000
743	1537	4	0.9576	21.994
881	1051	4	0.947	21.985
523	1537	4	0.9626	21.995
849	1537	4	0.9555	19.979
775	1208	4	0.9814	-13.979
1005	1007	4	0.9409	-0.001
743	849	4	0.9923	2.015
775	1537	4	0.9753	26.025
